Address,Property URL,City,Lot Size (AC),Price,Property Type,
3401 S Yosemite St,https://www.loopnet.com/Listing/3401-S-Yosemite-St-Denver-CO/39837277/,"Denver, CO 80231",0.64," $675,000.00 ",Commercial Lot,
4237 McWhinney Blvd,https://www.loopnet.com/Listing/4237-McWhinney-Blvd-Loveland-CO/23974785/,"Loveland, CO 80538",0.65," $871,347.90 ",Commercial Lots,
7300 W Jefferson Ave,https://www.loopnet.com/Listing/7300-W-Jefferson-Ave-Lakewood-CO/38419312/,"Lakewood, CO 80235",0.66," $379,999.00 ",Commercial Lot,
773 Pike St,https://www.loopnet.com/Listing/773-Pike-St-Golden-CO/32882041/,"Golden, CO 80401",0.66," $877,824.16 ",Commercial Lot,
Highway 34 Business & 83rd Avenue,https://www.loopnet.com/Listing/Highway-34-Business-83rd-Avenue-Greeley-CO/27017249/,"Greeley, CO 80634",0.66," $877,824.16 ",Commercial Lots,
9190 W 84th Ave,https://www.loopnet.com/Listing/9190-W-84th-Ave-Arvada-CO/38160305/,"Arvada, CO 80005",0.67," $499,000.00 ",Commercial Lot,
0 S 23rd,https://www.loopnet.com/Listing/0-S-23rd-Greeley-CO/30029228/,"Greeley, CO 80631",0.68," $890,776.68 ",Commercial Lot,
496 Laredo st,https://www.loopnet.com/Listing/496-Laredo-st-Aurora-CO/38708025/,"Aurora, CO 80011",0.7," $500,000.00 ",Commercial Lot,
Apex Drive,https://www.loopnet.com/Listing/Apex-Drive-Windsor-CO/33598205/,"Windsor, CO 80550",0.71," $554,940.00 ",Commercial Lots,
10431 Quari St,https://www.loopnet.com/Listing/10431-Quari-St-Commerce-City-CO/29119294/,"Commerce City, CO 80022",0.72," $270,000.00 ",Commercial Lot,
7585 W 32nd Ave,https://www.loopnet.com/Listing/7585-W-32nd-Ave-Wheat-Ridge-CO/17183115/,"Wheat Ridge, CO 80033",0.73," $636,000.00 ",Commercial Lot,
Voyager Pkwy,https://www.loopnet.com/Listing/Voyager-Pkwy-Colorado-Springs-CO/37916829/,"Colorado Springs, CO 80921",0.73," $923,157.98 ",Commercial Lots,
1020 Space Center Dr,https://www.loopnet.com/Listing/1020-Space-Center-Dr-Colorado-Springs-CO/34888531/,"Colorado Springs, CO 80915",0.74," $276,921.00 ",Commercial Lot,
NEC N Fairgrounds Ave,https://www.loopnet.com/Listing/NEC-N-Fairgrounds-Ave-Windsor-CO/29890025/,"Windsor, CO 80528",0.74," $483,449.00 ",Commercial Lots,
806 Denver Ave,https://www.loopnet.com/Listing/806-818-Denver-Ave-Fort-Lupton-CO/38359513/,"Fort Lupton, CO 80621",0.75," $550,000.00 ",Commercial Lot,
NEC & SEC Marksheffel Rd & Fontaine Blvd,https://www.loopnet.com/Listing/NEC-SEC-Marksheffel-Rd-Fontaine-Blvd-Colorado-Springs-CO/28030813/,"Colorado Springs, CO 80925",0.75," $936,110.50 ",Commercial Lots,
