Address,Property URL,City,Acreage,Price,Property Type,Unnamed: 6,Latitude,Longitude
422 Perry St,https://www.loopnet.com/Listing/422-Perry-St-Castle-Rock-CO/38421711/,"Castle Rock, CO 80104",0.24," $605,821.24 ",Commercial Lot,,39.374148794158,-104.858322527659
502 Front Street,https://www.loopnet.com/Listing/502-Front-Street-Castle-Rock-CO/35496132/,"Castle Rock, CO 80104",0.27," $995,000.00 ",Commercial Lot,,39.374758032791,-104.857413091165
1712 N Pearl St,https://www.loopnet.com/Listing/1712-N-Pearl-St-Denver-CO/36376981/,"Denver, CO 80203",0.28," $1,280,000.00 ",Commercial Lot,,39.743433990396,-104.979520488987
2070 W Evans Ave,https://www.loopnet.com/Listing/2070-W-Evans-Ave-Englewood-CO/38267472/,"Englewood, CO 80110",0.29," $1,300,000.00 ",Commercial Lot,,39.678414016812,-105.011930039624
1400 W Bayaud Ave,https://www.loopnet.com/Listing/1400-1404-W-Bayaud-Ave-Denver-CO/38199612/,"Denver, CO 80223",0.3," $595,000.00 ",Commercial Lot,,39.714577570425,-105.006466296039
1319 Sheridan Blvd,https://www.loopnet.com/Listing/1319-1327-Sheridan-Blvd-Lakewood-CO/38343110/,"Lakewood, CO 80214",0.3," $999,998.00 ",Commercial Lot,,39.737113071483,-105.053491874157
239 S Main St,https://www.loopnet.com/Listing/239-S-Main-St-Brighton-CO/27424620/,"Brighton, CO 80601",0.31," $250,000.00 ",Commercial Lot,,39.982905257485,-104.822555605705
833 Main St,https://www.loopnet.com/Listing/833-Main-St-Louisville-CO/39763354/,"Louisville, CO 80027",0.31," $1,450,000.00 ",Commercial Lot,,39.978535813269,-105.13240003266
606 W Colfax Ave,https://www.loopnet.com/Listing/606-W-Colfax-Ave-Denver-CO/26992476/,"Denver, CO 80204",0.31," $1,475,000.00 ",Commercial Lot,,39.739741342952,-104.995589435564
1177 N Grant St,https://www.loopnet.com/Listing/1177-N-Grant-St-Denver-CO/39341789/,"Denver, CO 80203",0.31," $2,593,000.00 ",Commercial Lot,,39.735040604014,-104.983999610405
20th & Blake St,https://www.loopnet.com/Listing/20th-Blake-St-Land-Denver-CO/26158810/,"Denver, CO 80205",0.32," $1,320,000.00 ",Commercial Lot,,39.754299409573,-104.994304825083
8905 E Colfax Ave,https://www.loopnet.com/Listing/8905-E-Colfax-Ave-Aurora-CO/32567100/,"Aurora, CO 80010",0.33," $845,000.00 ",Commercial Lot,,39.740387126683,-104.884281197975
3690 W 38th Ave,https://www.loopnet.com/Listing/3690-W-38th-Ave-Denver-CO/39548693/,"Denver, CO 80211",0.33," $2,050,000.00 ",Commercial Lot,,39.769299453948,-105.035478745138
19640 E Mainstreet,https://www.loopnet.com/Listing/19640-E-Mainstreet-Parker-CO/31023349/,"Parker, CO 80138",0.34," $670,583.84 ",Commercial Lot,,39.517875802479,-104.760858931002
1164 Kalamath St,https://www.loopnet.com/Listing/1164-1180-Kalamath-St-Denver-CO/24232678/,"Denver, CO 80204",0.34," $1,725,000.00 ",Commercial Lot,,39.734942996751,-104.999961100984
1391 Ames St,https://www.loopnet.com/Listing/1391-Ames-St-Lakewood-CO/39508021/,"Lakewood, CO 80214",0.35," $975,000.00 ",Commercial Lot,,39.738327525434,-105.054675482705
1801 E Colfax Ave,https://www.loopnet.com/Listing/1801-E-Colfax-Ave-Denver-CO/34937755/,"Denver, CO 80218",0.36," $2,400,000.00 ",Commercial Lot,,39.740239647096,-104.965665370676
1425 W 13th Ave,https://www.loopnet.com/Listing/1425-W-13th-Ave-Denver-CO/39545028/,"Denver, CO 80204",0.41," $2,100,000.00 ",Commercial Lot,,39.737234692898,-105.006021971351
2960 W Bates Ave,https://www.loopnet.com/Listing/2960-W-Bates-Ave-Denver-CO/31431556/,"Denver, CO 80236",0.43," $1,000,000.00 ",Commercial Lot,,39.663633326843,-105.02445930849
3866 S Broadway,https://www.loopnet.com/Listing/3866-3880-S-Broadway-Englewood-CO/39621856/,"Englewood, CO 80113",0.43," $2,100,000.00 ",Commercial Lot,,39.646385004579,-104.987333009479
3134 Walnut St,https://www.loopnet.com/Listing/3134-Walnut-St-Denver-CO/37511291/,"Denver, CO 80205",0.43," $3,950,000.00 ",Commercial Lot,,39.7638160548,-104.979745794544
342 University Blvd,https://www.loopnet.com/Listing/342-358-University-Blvd-Denver-CO/30119471/,"Denver, CO 80206",0.43," $6,750,000.00 ",Commercial Lot,,39.721851008815,-104.95916981481
3421 S Federal Blvd,https://www.loopnet.com/Listing/3421-S-Federal-Blvd-Englewood-CO/28310484/,"Englewood, CO 80110",0.44," $665,000.00 ",Commercial Lot,,39.655059980999,-105.025676025555
2300 W County Road 54G,https://www.loopnet.com/Listing/2300-W-County-Road-54G-Laporte-CO/33671750/,"Laporte, CO 80535",0.46," $330,000.00 ",Commercial Lot,,40.625878828869,-105.117877128123
6501 W 91st Ave,https://www.loopnet.com/Listing/6501-W-91st-Ave-Westminster-CO/32261103/,"Westminster, CO 80031",0.49," $599,000.00 ",Commercial Lot,,39.86152704333,-105.068394730365
15854 Jackson Creek Pky,https://www.loopnet.com/Listing/15854-16086-Jackson-Creek-Pky-Monument-CO/24968656/,"Monument, CO 80132",0.49," $767,727.74 ",Commercial Lots,,39.064053999756,-104.849999968358
6683 Crossroads Blvd,https://www.loopnet.com/Listing/6683-Crossroads-Blvd-Windsor-CO/21654107/,"Windsor, CO 80550",0.5," $774,204.00 ",Commercial Lots,,40.436325106042,-104.977304984339
5290 Balsam St,https://www.loopnet.com/Listing/5290-Balsam-St-Arvada-CO/38996376/,"Arvada, CO 80002",0.55," $899,000.00 ",Commercial Lot,,39.792847908006,-105.08822958222
1350 S Sheridan Blvd,https://www.loopnet.com/Listing/1350-S-Sheridan-Blvd-Denver-CO/37998105/,"Denver, CO 80232",0.55," $1,550,000.00 ",Commercial Lot,,39.691941528438,-105.052881671606
Chambers & E-470 Retail,https://www.loopnet.com/Listing/Chambers-E-470-Retail-Parker-CO/16914574/,"Parker, CO 80134",0.58," $826,014.08 ",Commercial Lots,,39.552835002333,-104.808160022277
4310 N Delaware St,https://www.loopnet.com/Listing/4310-4328-N-Delaware-St-Denver-CO/39046175/,"Denver, CO 80216",0.58," $1,580,000.00 ",Industrial Lot,,39.775487016782,-104.99196350807
8507 Reed st,https://www.loopnet.com/Listing/8507-Reed-st-Littleton-CO/39673424/,"Littleton, CO 80128",0.59," $599,999.00 ",Commercial Lot,,39.562460696121,-105.077079136426
2099 S Oak St,https://www.loopnet.com/Listing/2099-S-Oak-St-Lakewood-CO/28271460/,"Lakewood, CO 80227",0.61," $800,000.00 ",Commercial Lot,,39.679557978958,-105.119332142695
16086 Jackson Creek Pkwy,https://www.loopnet.com/Listing/Jackson-Creek-Pkwy-Monument-CO/24920157/,"Monument, CO 80132",0.62," $851,919.12 ",Commercial Lots,,39.066250980397,-104.850601034635
17160 W Colfax Ave,https://www.loopnet.com/Listing/17160-W-Colfax-Ave-Golden-CO/29520298/,"Golden, CO 80401",0.63," $500,000.00 ",Commercial Lot,,39.722253633534,-105.192465086092
1560 N Academy Blvd,https://www.loopnet.com/Listing/1560-N-Academy-Blvd-Colorado-Springs-CO/3886433/,"Colorado Springs, CO 80909",0.64," $416,700.00 ",Commercial Lot,,38.854776988204,-104.75774002483
3401 S Yosemite St,https://www.loopnet.com/Listing/3401-S-Yosemite-St-Denver-CO/39837277/,"Denver, CO 80231",0.64," $675,000.00 ",Commercial Lot,,39.654049416843,-104.88550562639
4237 McWhinney Blvd,https://www.loopnet.com/Listing/4237-McWhinney-Blvd-Loveland-CO/23974785/,"Loveland, CO 80538",0.65," $871,347.90 ",Commercial Lots,,40.408208389025,-105.017378025231
7300 W Jefferson Ave,https://www.loopnet.com/Listing/7300-W-Jefferson-Ave-Lakewood-CO/38419312/,"Lakewood, CO 80235",0.66," $379,999.00 ",Commercial Lot,,39.649773884125,-105.079540805378
773 Pike St,https://www.loopnet.com/Listing/773-Pike-St-Golden-CO/32882041/,"Golden, CO 80401",0.66," $877,824.16 ",Commercial Lot,,39.728252393998,-105.182382997676
Highway 34 Business & 83rd Avenue,https://www.loopnet.com/Listing/Highway-34-Business-83rd-Avenue-Greeley-CO/27017249/,"Greeley, CO 80634",0.66," $877,824.16 ",Commercial Lots,,40.421498483243,-104.813483201346
9190 W 84th Ave,https://www.loopnet.com/Listing/9190-W-84th-Ave-Arvada-CO/38160305/,"Arvada, CO 80005",0.67," $499,000.00 ",Commercial Lot,,39.849854027782,-105.100317795342
0 S 23rd,https://www.loopnet.com/Listing/0-S-23rd-Greeley-CO/30029228/,"Greeley, CO 80631",0.68," $890,776.68 ",Commercial Lot,,40.391085141174,-104.715697500865
496 Laredo st,https://www.loopnet.com/Listing/496-Laredo-st-Aurora-CO/38708025/,"Aurora, CO 80011",0.7," $500,000.00 ",Commercial Lot,,39.724337332754,-104.800258318335
Apex Drive,https://www.loopnet.com/Listing/Apex-Drive-Windsor-CO/33598205/,"Windsor, CO 80550",0.71," $554,940.00 ",Commercial Lots,,40.439506285494,-104.904796352202
10431 Quari St,https://www.loopnet.com/Listing/10431-Quari-St-Commerce-City-CO/29119294/,"Commerce City, CO 80022",0.72," $270,000.00 ",Commercial Lot,,39.886267655476,-104.844980046547
7585 W 32nd Ave,https://www.loopnet.com/Listing/7585-W-32nd-Ave-Wheat-Ridge-CO/17183115/,"Wheat Ridge, CO 80033",0.73," $636,000.00 ",Commercial Lot,,39.762332918943,-105.080326369535
Voyager Pkwy,https://www.loopnet.com/Listing/Voyager-Pkwy-Colorado-Springs-CO/37916829/,"Colorado Springs, CO 80921",0.73," $923,157.98 ",Commercial Lots,,39.010068180295,-104.807384762015
1020 Space Center Dr,https://www.loopnet.com/Listing/1020-Space-Center-Dr-Colorado-Springs-CO/34888531/,"Colorado Springs, CO 80915",0.74," $276,921.00 ",Commercial Lot,,38.846630993693,-104.723344968969
NEC N Fairgrounds Ave,https://www.loopnet.com/Listing/NEC-N-Fairgrounds-Ave-Windsor-CO/29890025/,"Windsor, CO 80528",0.74," $483,449.00 ",Commercial Lots,,40.437732372143,-104.982630626628
806 Denver Ave,https://www.loopnet.com/Listing/806-818-Denver-Ave-Fort-Lupton-CO/38359513/,"Fort Lupton, CO 80621",0.75," $550,000.00 ",Commercial Lot,,40.086910468567,-104.810089955484
NEC & SEC Marksheffel Rd & Fontaine Blvd,https://www.loopnet.com/Listing/NEC-SEC-Marksheffel-Rd-Fontaine-Blvd-Colorado-Springs-CO/28030813/,"Colorado Springs, CO 80925",0.75," $936,110.50 ",Commercial Lots,,38.737471079797,-104.64992486157
5830-5975 Tutt Center Pt,https://www.loopnet.com/Listing/5830-5975-Tutt-Center-Pt-Colorado-Springs-CO/37169828/,"Colorado Springs, CO 80923",0.76," $397,267.00 ",Commercial Lots,,38.907060743732,-104.716439286581
15535 E 40th Ave,https://www.loopnet.com/Listing/15535-E-40th-Ave-Denver-CO/35141975/,"Denver, CO 80239",0.84," $875,000.00 ",Commercial Lot,,39.77354199615,-104.806895444545
SEC County Line Rd. & Bonnell Ave,https://www.loopnet.com/Listing/SEC-County-Line-Rd-Bonnell-Ave-Erie-CO/39854081/,"Erie, CO 80516",0.85," $1,000,873.10 ",Commercial Lot,,40.029308982207,-105.055372018858
2433 Champa St,https://www.loopnet.com/Listing/2433-Champa-St-Denver-CO/39507403/,"Denver, CO 80205",0.85," $5,500,000.00 ",Commercial Lot,,39.754395172817,-104.984102540176
11958 Lincoln Ave,https://www.loopnet.com/Listing/Lincoln-Ave-Parker-CO/39741118/,"Parker, CO 80138",0.86," $495,000.00 ",Commercial Lot,,39.536519536914,-104.76116705724
3529 W 4th St,https://www.loopnet.com/Listing/3529-W-4th-St-Greeley-CO/33222629/,"Greeley, CO 80634",0.86," $730,000.00 ",Commercial Lot,,40.430443147398,-104.73664428328
Harmony Rd,https://www.loopnet.com/Listing/Harmony-Rd-Timnath-CO/21109276/,"Timnath, CO 80547",0.88," $689,895.00 ",Commercial Lots,,40.522951241822,-104.96262130308
4175 E Iliff Ave,https://www.loopnet.com/Listing/4175-E-Iliff-Ave-Denver-CO/38440964/,"Denver, CO 80222",0.88," $1,880,000.00 ",Commercial Lot,,39.675337816437,-104.938745882799
2505 Airport Rd,https://www.loopnet.com/Listing/2505-Airport-Rd-Colorado-Springs-CO/36938245/,"Colorado Springs, CO 80910",0.89," $449,500.00 ",Commercial Lot,,38.825108277996,-104.783084636919
6401 Wadsworth Byp,https://www.loopnet.com/Listing/6401-Wadsworth-Byp-Arvada-CO/31048041/,"Arvada, CO 80003",0.89," $895,905.59 ",Commercial Lot,,39.813133999618,-105.081230022517
6280 Benton Street,https://www.loopnet.com/Listing/6280-Benton-Street-Arvada-CO/35238536/,"Arvada, CO 80002",0.9," $898,727.90 ",Commercial Lot,,39.810791844414,-105.055037245646
2351 Main St,https://www.loopnet.com/Listing/2351-Main-St-Longmont-CO/39601199/,"Longmont, CO 80501",0.92," $1,046,206.92 ",Commercial Lot,,40.201886710805,-105.103052894167
16060 E 104th Ave,https://www.loopnet.com/Listing/16060-E-104th-Ave-Commerce-City-CO/39586489/,"Commerce City, CO 80022",0.93," $907,194.83 ",Commercial Lot,,39.885345542872,-104.800020512939
Powers Blvd,https://www.loopnet.com/Listing/Powers-Blvd-Colorado-Springs-CO/27500579/,"Colorado Springs, CO 80920",0.93," $1,052,683.18 ",Commercial Lots,,38.963774213341,-104.737207284426
2450 Curtis St,https://www.loopnet.com/Listing/2450-Curtis-St-Denver-CO/34878162/,"Denver, CO 80205",0.93," $1,930,000.00 ",Commercial Lot,,39.755035173034,-104.984190298703
1120 Alpine Ave,https://www.loopnet.com/Listing/1120-1130-Alpine-Ave-Boulder-CO/39852837/,"Boulder, CO 80304",0.93," $8,000,000.00 ",Commercial Lot,,40.025135087792,-105.283604033889
12045 S Parker Rd,https://www.loopnet.com/Listing/12045-S-Parker-Rd-Parker-CO/18251994/,"Parker, CO 80134",0.94," $1,000,000.00 ",Commercial Lot,,39.499137452181,-104.761704039059
19801 E Mainstreet,https://www.loopnet.com/Listing/19801-E-Mainstreet-Parker-CO/31023396/,"Parker, CO 80138",0.94," $1,059,159.44 ",Commercial Lot,,39.518396360575,-104.75928958727
12353 E 104th Pl,https://www.loopnet.com/Listing/12353-E-104th-Pl-Commerce-City-CO/39324469/,"Commerce City, CO 80022",0.95," $580,000.00 ",Commercial Lot,,39.886646182224,-104.843759389987
1801 W Union Ave,https://www.loopnet.com/Listing/1801-W-Union-Ave-Englewood-CO/39250756/,"Englewood, CO 80110",0.95," $912,839.45 ",Commercial Lot,,39.63264140749,-105.009568941318
1847 61st Ave,https://www.loopnet.com/Listing/1847-61st-Ave-Greeley-CO/37168060/,"Greeley, CO 80634",0.96," $250,000.00 ",Commercial Lot,,40.408692234386,-104.779727265602
6375 Lookout Rd,https://www.loopnet.com/Listing/6375-Lookout-Rd-Boulder-CO/35970288/,"Boulder, CO 80301",0.96," $1,260,000.00 ",Commercial Lot,,40.07191054992,-105.205474218915
469 S Martin St,https://www.loopnet.com/Listing/469-S-Martin-St-Longmont-CO/30284924/,"Longmont, CO 80501",0.98," $1,085,064.48 ",Commercial Lot,,40.153865194951,-105.093868842858
6523 S Parker Rd,https://www.loopnet.com/Listing/6523-S-Parker-Rd-Aurora-CO/36302574/,"Aurora, CO 80016",0.99," $924,128.69 ",Commercial Lot,,39.598190025239,-104.804581284898
7269 Bandley Rd,https://www.loopnet.com/Listing/7269-Bandley-Rd-Fountain-CO/6423884/,"Fountain, CO 80817",1.0," $653,400.00 ",Commercial Lots,,38.726470963436,-104.732756924225
3311 Ideal Drive Dr,https://www.loopnet.com/Listing/3311-Ideal-Drive-Dr-Frederick-CO/35744244/,"Frederick, CO 80516",1.0," $949,000.00 ",Commercial Lot,,40.087044076103,-104.992966989518
2121 Main Street St,https://www.loopnet.com/Listing/2121-Main-Street-St-Longmont-CO/38312218/,"Longmont, CO 80501",1.0," $1,098,017.00 ",Commercial Lot,,40.196557033979,-105.102477525839
12015 Irma Dr,https://www.loopnet.com/Listing/12015-Irma-Dr-Northglenn-CO/34662093/,"Northglenn, CO 80241",1.0," $1,098,017.00 ",Commercial Lot,,39.918832606598,-104.965887826386
6683 Crossroads Blvd,https://www.loopnet.com/Listing/6683-Crossroads-Blvd-Windsor-CO/21654107/,"Windsor, CO 80550",1.0," $1,098,017.00 ",Commercial Lots,,40.436325106042,-104.977304984339
12325 Pine Bluffs Way,https://www.loopnet.com/Listing/12325-Pine-Bluffs-Way-Parker-CO/37153058/,"Parker, CO 80134",1.0," $1,100,000.00 ",Commercial Lot,,39.49250005162,-104.758098183553
4084 Wadsworth Blvd,https://www.loopnet.com/Listing/4084-Wadsworth-Blvd-Wheat-Ridge-CO/36950718/,"Wheat Ridge, CO 80033",1.01," $929,773.31 ",Commercial Lot,,39.772906019247,-105.081095241514
"128, 144, & 154 Mountain Ave",https://www.loopnet.com/Listing/128-144-154-Mountain-Ave/39730151/,"Berthoud, CO",1.01," $1,104,493.26 ",Land Properties,,40.305480915264,-105.075820426026
TBD Sculptor Dr,https://www.loopnet.com/Listing/TBD-Sculptor-Dr-Loveland-CO/23977644/,"Loveland, CO 80537",1.01," $1,104,493.26 ",Commercial Lot,,40.402418045185,-105.032902519
740 Champion Dr,https://www.loopnet.com/Listing/740-Champion-Dr-Windsor-CO/34800727/,"Windsor, CO 80550",1.01," $1,104,493.26 ",Commercial Lot,,40.41062669382,-104.908675888976
2120 University Park Blvd,https://www.loopnet.com/Listing/2120-University-Park-Blvd-Colorado-Springs-CO/27680798/,"Colorado Springs, CO 80918",1.02," $295,000.00 ",Commercial Lot,,38.910590363159,-104.78892179429
7029 S Kenton St,https://www.loopnet.com/Listing/7029-S-Kenton-St-Centennial-CO/6542017/,"Centennial, CO 80112",1.02," $710,896.00 ",Commercial Lot,,39.589377166512,-104.861031642585
104th Ave,https://www.loopnet.com/Listing/104th-Ave-Commerce-City-CO/24131525/,"Commerce City, CO 80022",1.06," $692,509.00 ",Commercial Lot,,39.88539386175,-104.707921614396
7740 Adventure Way,https://www.loopnet.com/Listing/7740-Adventure-Way-Colorado-Springs-CO/32892601/,"Colorado Springs, CO 80923",1.06," $844,000.00 ",Commercial Lot,,38.940728753312,-104.685032965934
2850 S Prairie Ave,https://www.loopnet.com/Listing/2850-S-Prairie-Ave-Pueblo-CO/37721936/,"Pueblo, CO 81005",1.09," $575,000.00 ",Commercial Lot,,38.219204733329,-104.643601383127
I-70 & Chambers Rd,https://www.loopnet.com/Listing/I-70-Chambers-Rd-Aurora-CO/33827595/,"Aurora, CO 80011",1.1," $955,174.10 ",Commercial Lot,,39.770867414666,-104.809990881388
Colfax Ave & Airport Blvd,https://www.loopnet.com/Listing/Colfax-Ave-Airport-Blvd-Aurora-CO/24946845/,"Aurora, CO 80011",1.1," $955,174.10 ",Industrial Lot,,39.740269989586,-104.791334022205
9620 Federal Blvd,https://www.loopnet.com/Listing/9620-Federal-Blvd-Denver-CO/19104965/,"Denver, CO 80260",1.1," $1,200,000.00 ",Commercial Lot,,39.871504444236,-105.025030922002
15255 E 38th Ave,https://www.loopnet.com/Listing/15255-E-38th-Ave-Aurora-CO/3841714/,"Aurora, CO 80011",1.11," $957,996.41 ",Commercial Lot,,39.769240110074,-104.810729410877
5107 Emerson St,https://www.loopnet.com/Listing/5107-5135-Emerson-Denver-CO/33287990/,"Denver, CO 80216",1.11," $4,599,000.00 ",Commercial Lot,,39.789202492586,-104.976450365491
2980 W 60th Ave,https://www.loopnet.com/Listing/2980-W-60th-Ave-Denver-CO/12107088/,"Denver, CO 80221",1.14," $900,000.00 ",Commercial Lot,,39.805386957185,-105.022150208489
13800 Ash Cir,https://www.loopnet.com/Listing/13800-Ash-Cir-Thornton-CO/25414845/,"Thornton, CO 80602",1.15," $500,000.00 ",Commercial Lot,,39.946456593436,-104.938427705755
4858 College Ave,https://www.loopnet.com/Listing/4858-College-Ave-Fort-Collins-CO/30707303/,"Fort Collins, CO 80525",1.15," $925,000.00 ",Commercial Lot,,40.519098998289,-105.076343959699
2431 S Ash St,https://www.loopnet.com/Listing/2431-2459-S-Ash-St-Denver-CO/37865876/,"Denver, CO 80222",1.16," $2,160,000.00 ",Commercial Lot,,39.672866705653,-104.938841604134
523 Crossing Dr,https://www.loopnet.com/Listing/523-Crossing-Dr-Lafayette-CO/39871733/,"Lafayette, CO 80026",1.17," $609,000.00 ",Commercial Lot,,40.002667689697,-105.101585977292
4265 Santa Fe Dr,https://www.loopnet.com/Listing/4265-Santa-Fe-Dr-Sheridan-CO/30482164/,"Sheridan, CO 80110",1.17," $1,799,000.00 ",Commercial Lot,,39.63876696462,-105.007023340305
7099 S Kenton St,https://www.loopnet.com/Listing/7099-S-Kenton-St-Centennial-CO/6542016/,"Centennial, CO 80112",1.18," $976,600.00 ",Commercial Lot,,39.588430849644,-104.861817781283
2508 Airport Rd,https://www.loopnet.com/Listing/2508-Airport-Rd-Colorado-Springs-CO/7450308/,"Colorado Springs, CO 80910",1.24," $675,000.00 ",Commercial Lot,,38.826565010858,-104.783144986622
6322 Ivanhoe St,https://www.loopnet.com/Listing/6322-Ivanhoe-St-Commerce-City-CO/30497175/,"Commerce City, CO 80022",1.24," $1,500,000.00 ",Commercial Lot,,39.811481968412,-104.920723282229
1181 Space Center dr,https://www.loopnet.com/Listing/1181-Space-Center-dr-Colorado-Springs-CO/35000299/,"Colorado Springs, CO 80915",1.25," $872,336.00 ",Commercial Lot,,38.849059650139,-104.722001182252
8850 Huron St,https://www.loopnet.com/Listing/8850-Huron-St-Thornton-CO/33061072/,"Thornton, CO 80260",1.26," $349,000.00 ",Commercial Lot,,39.858426283979,-104.995662022846
890 Stout Rd,https://www.loopnet.com/Listing/Voyager-Pkwy-Colorado-Springs-CO/37916829/,"Colorado Springs, CO 80921",1.27," $1,272,876.02 ",Commercial Lots,,39.018186297742,-104.812178977212
NWQ Highway 119 and I-25,https://www.loopnet.com/Listing/NWQ-Highway-119-and-I-25-Firestone-CO/31431092/,"Firestone, CO 80504",1.28," $949,000.00 ",Commercial Lot,,40.160746988915,-104.978709958949
24092 E Prospect Ave,https://www.loopnet.com/Listing/24092-E-Prospect-Ave-Aurora-CO/19746505/,"Aurora, CO 80016",1.29," $1,011,456.00 ",Commercial Lot,,39.599342034012,-104.707769465031
18901 E 144th Ave,https://www.loopnet.com/Listing/18901-E-144th-Ave-Brighton-CO/26311449/,"Brighton, CO 80603",1.3," $1,292,304.80 ",Commercial Lots,,39.956932034626,-104.767208118633
2225 E 104th Ave,https://www.loopnet.com/Listing/2225-E-104th-Ave-Northglenn-CO/21412620/,"Northglenn, CO 80233",1.31," $3,200,000.00 ",Industrial Lot,,39.885561019129,-104.960972007812
9914 W Quincy Ave,https://www.loopnet.com/Listing/9914-W-Quincy-Ave-Littleton-CO/36111983/,"Littleton, CO 80123",1.32," $1,017,264.92 ",Commercial Lot,,39.638128243218,-105.109221304352
1380 Dry Creek Dr,https://www.loopnet.com/Listing/1380-Dry-Creek-Dr-Longmont-CO/27087953/,"Longmont, CO 80503",1.35," $3,500,000.00 ",Commercial Lot,,40.141378003238,-105.133061029545
7535 Mulberry Wood,https://www.loopnet.com/Listing/7535-Mulberry-Wood-Colorado-Springs-CO/27974930/,"Colorado Springs, CO 80908",1.36," $1,050,000.00 ",Commercial Lot,,38.941938010483,-104.674436983035
3485 W 72nd Ave,https://www.loopnet.com/Listing/3485-W-72nd-Ave-Westminster-CO/35100265/,"Westminster, CO 80030",1.38," $1,250,000.00 ",Commercial Lot,,39.827509424569,-105.031048741672
1377 Sculptor Dr,https://www.loopnet.com/Listing/1377-Sculptor-Dr-Loveland-CO/23977609/,"Loveland, CO 80537",1.38," $1,344,114.88 ",Commercial Lot,,40.406720391664,-105.038658001012
4237 McWhinney Blvd,https://www.loopnet.com/Listing/4237-McWhinney-Blvd-Loveland-CO/23974785/,"Loveland, CO 80538",1.38," $1,344,114.88 ",Commercial Lots,,40.408208389025,-105.017378025231
Mainstreet & Jordan Rd,https://www.loopnet.com/Listing/Mainstreet-Jordan-Rd-Parker-CO/25128526/,"Parker, CO 80134",1.39," $1,350,591.14 ",Commercial Lots,,39.514998001752,-104.793509964269
4231 42nd Ave,https://www.loopnet.com/Listing/Centerplace-Dr-Greeley-CO/21352202/,"Greeley, CO 80634",1.4," $1,357,067.40 ",Commercial Lot,,40.402522962137,-104.746808863171
Chambers & E-470 Retail,https://www.loopnet.com/Listing/Chambers-E-470-Retail-Parker-CO/16914574/,"Parker, CO 80134",1.41," $1,363,543.66 ",Commercial Lots,,39.552835002333,-104.808160022277
13987 Foster ct,https://www.loopnet.com/Listing/13987-Foster-ct-Longmont-CO/34579366/,"Longmont, CO 80504",1.42," $1,370,019.92 ",Commercial Lot,,40.140476603851,-105.119700024426
765 Aspen Ridge Drive Dr,https://www.loopnet.com/Listing/765-Aspen-Ridge-Drive-Dr-Lafayette-CO/32931931/,"Lafayette, CO 80026",1.43," $556,000.00 ",Commercial Lot,,40.006898203868,-105.107210150504
11905 6th Avenue,https://www.loopnet.com/Listing/11905-6th-Avenue-Lakewood-CO/32792253/,"Lakewood, CO 80401",1.43," $2,400,000.00 ",Commercial Lot,,39.726857226215,-105.130249236305
