Fleet_Name,DOT Number,City,State,Drivers,Trucks,Address,Category,Latitude,Longitude,Daily_Demand
WARD ELECTRIC COMPANY INC,1342035,LONGMONT,CO,320,222,"9586 E I25 FRONTAGE RD STE B LONGMONT, CO 80504","Oil, Gas and Utility Services",40.14090191,-104.9788522,1054.94
CITY OF LONGMONT,1079380,LONGMONT,CO,261,211,"1100 S SHERMAN ST LONGMONT, CO 80501-6550",Public Works,40.14577695,-105.114135,489.67
HEAT WAVES HOT OIL SERVICE LLC,586518,LONGMONT,CO,42,201,"14133 COUNTY ROAD 9 1/2 LONGMONT, CO 80504","Oil, Gas and Utility Services",40.20643934,-104.9707244,955.15
SUPREME TRANSPORT INC,912923,LONGMONT,CO,200,183,"7300 MILLER PLACE UNIT B LONGMONT, CO 80504",Hauling,40.11478101,-104.9711961,1519.46
ST VRAIN VALLEY SCHOOL DISTRICT,988392,LONGMONT,CO,135,174,"395 S PRATT PARKWAY LONGMONT, CO 80501",School Transit,40.15549384,-105.1077812,909.53
LARIMER COUNTY,919952,LOVELAND,CO,196,131,"6994 RICKENBACKER ROAD, LOVELAND, CO 80538",Public Works,40.46193341,-105.0041545,304.01
LOVELAND MUNICIPALITY,2021878,LOVELAND,CO,115,109,"200 N Wilson Ave, Loveland, CO 80537",Public Works ,40.39494,-105.1136,252.96
ACCELERATED SERVICES LLC,873632,PARKER,CO,330,373,"19201 E LINCOLN AVE PARKER, CO 80138",Hauling,39.53779037,-104.766409,3097.03
CITY OF THORNTON,1065759,THORNTON,CO,960,208,"9500 CIVIC CENTER DR THORNTON, CO 80229",Public Works,39.86960066,-104.9842501,482.71
ADAMS 12 FIVE STAR SCHOOLS,1019051,THORNTON,CO,212,182,"1350 EAST 126TH AVENUE THORNTON, CO 80241",School Transit,39.92412402,-104.970435,951.35
CITY OF THORNTON,1065759,THORNTON,CO,2000,174,"9500 CIVIC CENTER DR THORNTON, CO 80229",Public Works,39.86960066,-104.9842501,403.8
TRI-STATE GENERATION & TRANSMISSION ASSOCIATION INC,180139,WESTMINSTER,CO,221,321,"1100 W 116TH AVE WESTMINSTER, CO 80234","Oil, Gas and Utility Services",39.90642999,-104.9995771,1525.39
GEOSTABILIZATION INTERNATIONAL LLC,1571280,WESTMINSTER,CO,212,155,"10225 WESTMOOR DRIVE, WESTMINSTER, CO 80021",Construction Material and Equipment,39.89945604,-105.1111408,1286.97
ALPINE MILLWORK COMPANY DBA ROCKY MOUNTAIN RELOAD,322477,WESTMINSTER,CO,143,141,"10170 CHURCH RANCH WAY NUMBER 350, WESTMINSTER, CO 80021",Hauling,39.88107138,-105.0739073,1170.73
COLD FRONT,331112,WESTMINSTER,CO,153,121,"7301 FEDERAL BLVD SUITE 200 WESTMINSTER, CO 80030",Refrigerated Transit,39.8283109,-105.0275157,1130.12
SITEWISE LLC,1034971,WHEAT RIDGE,CO,223,145,"4725 INDEPENDENCE STREET STE 100 WHEAT RIDGE, CO 80033","Oil, Gas and Utility Services",39.78257903,-105.1058483,689.04
